#GeneIDlyrata	GeneIDthaliana	GeneName
AL2G33340	AT1G73590	PIN1
AL8G32990	AT5G57090	PIN2
AL2G30460	AT1G70940	PIN3
AL5G10390	AT2G01420	PIN4
AL6G27480	AT5G16530	PIN5
AL2G37280	AT1G77110	PIN6
AL1G36650	AT1G23080	PIN7
AL6G25920	AT5G15100	PIN8
AL3G51190	AT2G18040	PIN1At
AL2G27760	AT1G68800	BRC2
AL3G31860	AT3G18550	BRC1
AL8G38620	AT5G61850	LFY
AL4G35120	AT2G38120	AUX1
AL5G24260	AT3G45640	MPK3
AL5G18630	AT3G28860	ABCB19
AL2G30670	AT1G71090	PILS2
AL8G31470	AT5G55910	D6PK
AL5G14380	AT3G25800	PP2AA2
AL3G23740	AT3G12110	ACT11
